time,tau_elv_angle,tau_elbow_flex,tau0_elv_angle,tau0_elbow_flex,delta_tau_elv,delta_tau_flex,F_int_recovered
0.69,3.19221161,1.12096253,3.18710503,1.11870833,0.005106580000000083,0.002254199999999873,0.011333279334036902
0.7,3.43475308,1.12393776,3.43156892,1.12254218,0.0031841599999999914,0.0013955800000000629,0.0070659823302200945
0.71,3.70182078,1.12801727,3.70073681,1.1275457,0.0010839699999998231,0.00047156999999997673,0.002405136079157859
0.72,3.94277425,1.13128541,3.94398714,1.13180921,-0.001212890000000133,-0.0005237999999998522,-0.002690971503085898
0.73,4.08497525,1.13100665,4.08870266,1.13260381,-0.0037274099999997645,-0.0015971599999999864,-0.008268715879832389
0.74,4.03541767,1.12368871,4.04189783,1.12644336,-0.006480159999999735,-0.0027546499999999696,-0.014373517213927312
0.75,3.68733257,1.10533078,3.69681493,1.10932895,-0.009482359999999801,-0.003998170000000023,-0.021030028635516857
0.76,2.93314495,1.07191391,2.94585351,1.07722805,-0.012708560000000091,-0.005314140000000078,-0.02818158246404539
0.77,1.68420171,1.02017896,1.70018494,1.02680619,-0.015983230000000015,-0.006627230000000095,-0.035438957132194776
0.78,-0.10410474,0.94870692,-0.0854873,0.95636089,-0.01861744,-0.00765397000000001,-0.041275369702761064
0.79,-2.4054433,0.85931473,-2.38704595,0.8668138,-0.018397349999999868,-0.007499069999999941,-0.04078422530282077
0.8,-5.09957497,0.75879382,-5.09035351,0.7625211,-0.009221460000000015,-0.0037272799999999995,-0.02044210515255447
0.81,-7.96035556,0.66097196,-7.9837436,0.65159586,0.023388040000000387,0.009376099999999998,0.05184861179016296
0.82,-10.66179586,0.58869651,-10.77050178,0.54545766,0.10870592000000023,0.04323885000000005,0.24101250923596407
0.83,-12.80758607,0.57439312,-13.10366163,0.45749114,0.29607556000000024,0.11690197999999996,0.6565194455463088
0.84,-13.98681789,0.65654647,-14.63851361,0.40097067,0.6516957200000011,0.2555758,1.4452760961312978
0.85,-13.85447648,0.86912251,-15.09221919,0.38666875,1.2377427099999991,0.48245375999999995,2.7452480747922188
0.86,-12.2253783,1.22383183,-14.29689544,0.4207189,2.071517140000001,0.80311293,4.594656142131724
0.87,-9.15369878,1.69171925,-12.23350481,0.5032849,3.0798060300000003,1.18843435,6.8308329999408395
0.88,-4.95826094,2.19683054,-9.03962786,0.62834823,4.08136692,1.5684823100000003,9.05156057183519
0.89,-0.16437906,2.63318153,-4.99227223,0.78456466,4.82789317,1.8486168699999999,10.706145576638855
0.9,4.62783684,2.90306572,-0.47219869,0.95687888,5.1000355299999995,1.9461868399999998,11.308471793925664
0.91,8.89303226,2.95784347,4.08304959,1.12852449,4.80998267,1.8293189799999998,10.664319844862414
0.92,12.27737626,2.81629398,8.23167944,1.28309947,4.04569682,1.5331945100000002,8.969070809862757
0.93,14.60764917,2.54901801,11.58100155,1.4064968,3.0266476200000003,1.1425212100000002,6.709470839542766
0.94,15.83786497,2.24064089,13.83660451,1.48853343,2.0012604599999992,0.75210746,4.436251774015251
0.95,15.99182162,1.95444616,14.84098599,1.5241276,1.1508356299999996,0.4303185600000001,2.5511500940918883
0.96,15.1423753,1.71779887,14.59374587,1.51383323,0.5486294300000001,0.20396564000000006,1.2163143159318435
0.97,13.4236545,1.52906411,13.246274,1.46354203,0.17738049999999994,0.06552208000000004,0.39331691322697687
0.98,11.04439463,1.37412728,11.06943695,1.38331245,-0.02504232000000073,-0.009185170000000076,-0.05553863900409893
0.99,8.27636302,1.24012023,8.4011286,1.28553675,-0.12476558000000004,-0.04541651999999985,-0.2767589201271031
1.0,5.41544367,1.12107994,5.58649268,1.18285052,-0.17104900999999995,-0.06177057999999991,-0.37949176099369747
1.01,2.73157894,1.01708243,2.92466087,1.0862409,-0.19308192999999996,-0.06915846999999986,-0.4284259146158266
1.02,0.42756189,0.93082039,0.63282461,1.00373462,-0.20526272,-0.07291422999999986,-0.4554898822883538
1.03,-1.38116912,0.86460271,-1.16754672,0.9398598,-0.2136224,-0.07525709000000003,-0.4740679660969361
1.04,-2.66477508,0.81885285,-2.44445924,0.89583354,-0.22031584000000004,-0.07698069000000007,-0.4889484733907886
1.05,-3.46181897,0.79192704,-3.23583855,0.87025199,-0.22598041999999996,-0.07832494999999995,-0.5015523976796721
1.06,-3.85513004,0.78066105,-3.62437988,0.86000896,-0.23075015999999993,-0.07934791000000008,-0.5121826739014546
1.07,-3.94778827,0.78114798,-3.71316872,0.86120562,-0.23461955000000012,-0.08005764000000004,-0.5208278462202472
1.08,-3.8436845,0.78944058,-3.60612746,0.86989216,-0.23755704,-0.08045158000000008,-0.5274160075651293
1.09,-3.63443776,0.80204568,-3.39490566,0.88257226,-0.23953209999999991,-0.08052658000000001,-0.5318764349464544
1.1,-3.39248609,0.81618952,-3.15195856,0.89647352,-0.2405275299999996,-0.08028400000000002,-0.5341677193942624
1.11,-3.16907752,0.82990169,-2.92854121,0.90962925,-0.24053630999999998,-0.07972755999999992,-0.5342706243809068
1.12,-2.99557899,0.84196579,-2.75601398,0.92083156,-0.23956500999999975,-0.07886576999999995,-0.5321980089834095
1.13,-2.88661643,0.85180308,-2.64898462,0.92951274,-0.23763181000000033,-0.0777096599999999,-0.5279883804236268
1.14,-2.8439622,0.85932234,-2.60919415,0.93559722,-0.23476805,-0.07627488000000004,-0.5217101573538668
1.15,-2.86046942,0.86477098,-2.62945323,0.93935146,-0.23101618999999962,-0.07458048000000006,-0.5134568387401715
1.16,-2.92365286,0.86859983,-2.69722416,0.94124721,-0.2264286999999996,-0.07264738000000004,-0.5033437079885941
1.17,-3.01870083,0.87134693,-2.79763335,0.9418463,-0.22106747999999987,-0.07049937000000006,-0.49150711307098754
1.18,-3.13082568,0.87354671,-2.91582106,0.94171057,-0.2150046200000002,-0.06816386000000008,-0.4781068641761274
1.19,-3.2469234,0.87567146,-3.03860848,0.94133756,-0.20831491999999985,-0.06566610000000006,-0.46330746139485024
1.2,-3.35659309,0.87808566,-3.15551078,0.94112134,-0.20108230999999988,-0.06303568000000004,-0.44729539645225713
1.21,-3.45255524,0.8810358,-3.25916437,0.94133575,-0.19339087,-0.06029994999999999,-0.43025669799269667
1.22,-3.53059791,0.8846492,-3.34526937,0.94213637,-0.18532853999999999,-0.05748716999999992,-0.4123865573112891
1.23,-3.58915897,0.88895189,-3.41217725,0.9435761,-0.17698172000000012,-0.05462421000000006,-0.39387681305504096
1.24,-3.62870951,0.89389169,-3.46027305,0.94562894,-0.16843646000000012,-0.05173724999999996,-0.3749187478871504
1.25,-3.65107003,0.89936616,-3.49129438,0.94821653,-0.15977565000000027,-0.04885036999999992,-0.3556964238550102
1.26,-3.65877278,0.9052458,-3.50769383,0.95123318,-0.15107895000000005,-0.04598738000000002,-0.33638766361989275
1.27,-3.6545276,0.91139895,-3.51210863,0.95456685,-0.14241897000000003,-0.043167899999999926,-0.317153632295264
1.28,-3.64083117,0.91770404,-3.50696803,0.9581144,-0.13386313999999988,-0.04041035999999998,-0.29814457215875445
1.29,-3.6197216,0.92405942,-3.49424848,0.96179114,-0.1254731200000001,-0.037731720000000024,-0.27949836129072597
1.3,-3.59266863,0.93038991,-3.47536693,0.965535,-0.11730170000000006,-0.03514508999999999,-0.26133259379903884
1.31,-3.56057701,0.93664455,-3.45118263,0.96930663,-0.1093943799999999,-0.03266207999999993,-0.24374923478943705
1.32,-3.52385429,0.94279581,-3.4220658,0.97308669,-0.10178849000000012,-0.03029088000000002,-0.2268315049154786
1.33,-3.48251235,0.94883286,-3.38799739,0.97687178,-0.0945149599999997,-0.028038919999999967,-0.21064916513655754
1.34,-3.43627472,0.95476016,-3.34868043,0.98066979,-0.08759429000000019,-0.025909630000000017,-0.19524816717980137
1.35,-3.38469601,0.96058984,-3.30365325,0.98449541,-0.08104275999999988,-0.02390556999999993,-0.18066527307422434
1.36,-3.32726042,0.96633912,-3.25239299,0.98836619,-0.07486742999999985,-0.022027070000000037,-0.1669169420308988
1.37,-3.2634651,0.97202662,-3.19439418,0.99229952,-0.0690709199999997,-0.020272900000000038,-0.15400946500813406
1.38,-3.19286415,0.97767111,-3.12921527,0.9963107,-0.06364888000000013,-0.01863959000000004,-0.14193336212840493
1.39,-3.11509191,0.98328875,-3.05649985,1.00041188,-0.05859206000000006,-0.017123129999999875,-0.13066867820143957
1.4,-3.02987248,0.98889346,-2.97598426,1.00461181,-0.05388821999999971,-0.015718350000000103,-0.12018847687331588
1.41,-2.93701463,0.99449712,-2.88749504,1.00891599,-0.04951959000000006,-0.014418869999999973,-0.1104536088989509
1.42,-2.83639867,1.00010969,-2.7909313,1.01332745,-0.045467369999999896,-0.013217760000000078,-0.10142232668504474
1.43,-2.72794079,1.00574007,-2.6862312,1.01784785,-0.04170958999999996,-0.012107780000000012,-0.09304606992940953
1.44,-2.61155714,1.01139759,-2.57333446,1.02247872,-0.038222680000000064,-0.011081129999999995,-0.08527252377376526
1.45,-2.48713858,1.01709229,-2.45215563,1.02722239,-0.034982949999999846,-0.01013010000000003,-0.07804906851287384
1.46,-2.35453788,1.02283616,-2.32257325,1.03208254,-0.03196463000000005,-0.009246379999999998,-0.0713183386437953
1.47,-2.21357248,1.02864168,-2.18442824,1.03706446,-0.029144239999999932,-0.008422780000000074,-0.06502826997351016
1.48,-2.06402326,1.03452335,-2.03752677,1.042175,-0.026496489999999984,-0.007651650000000121,-0.05912271421780508
1.49,-1.90564906,1.04049706,-1.88165141,1.04742226,-0.023997650000000093,-0.006925199999999965,-0.05354855484166153
1.5,-1.73821074,1.04657758,-1.71658503,1.05281478,-0.02162570999999991,-0.006237200000000165,-0.04825712010881374
1.51,-1.56149945,1.05277985,-1.54214029,1.05836079,-0.01935915999999982,-0.005580939999999979,-0.043200404963915695
1.52,-1.37535644,1.05911758,-1.35817932,1.06406748,-0.017177119999999935,-0.004949900000000174,-0.03833177174708489
1.53,-1.17968114,1.06560194,-1.16462027,1.06994073,-0.015060870000000115,-0.004338789999999815,-0.033609743752881255
1.54,-0.97444372,1.07224217,-0.96144987,1.07598459,-0.012993849999999973,-0.003742420000000024,-0.02899729738555759
1.55,-0.75973207,1.07904387,-0.74877214,1.08219987,-0.010959929999999951,-0.0031559999999999366,-0.024458510550886898
1.56,-0.53585533,1.08600612,-0.526911,1.08858137,-0.008944329999999945,-0.002575250000000029,-0.019960521826942395
1.57,-0.30349415,1.09311739,-0.29655918,1.09511415,-0.00693497000000004,-0.001996759999999931,-0.015476528215323795
1.58,-0.0638572,1.10035307,-0.05893774,1.10176946,-0.0049194600000000005,-0.0014163900000001561,-0.010978607608969475
1.59,0.18120988,1.10767122,0.18409725,1.10850236,-0.00288737,-0.0008311399999998415,-0.006443553019052859
1.6,0.42925315,1.11501379,0.43008374,1.11525281,-0.0008305899999999644,-0.00023902000000020074,-0.001853529228952635
